uf,name,code,dbpedia,dbpedia_pt,wikidata
AL,Jacaré dos Homens,2703403,,http://pt.dbpedia.org/resource/Jacaré_dos_Homens,http://www.wikidata.org/entity/Q1816248
AL,Jacuípe,2703502,,http://pt.dbpedia.org/resource/Jacuípe,http://www.wikidata.org/entity/Q1808734
AL,Japaratinga,2703601,,http://pt.dbpedia.org/resource/Japaratinga,http://www.wikidata.org/entity/Q1808087
AL,Jaramataia,2703700,,http://pt.dbpedia.org/resource/Jaramataia,http://www.wikidata.org/entity/Q1815918
AL,Jequiá da Praia,2703759,http://dbpedia.org/resource/Jequiá_da_Praia,http://pt.dbpedia.org/resource/Jequiá_da_Praia,http://www.wikidata.org/entity/Q1808524
AL,Joaquim Gomes,2703809,,http://pt.dbpedia.org/resource/Joaquim_Gomes,http://www.wikidata.org/entity/Q2027123
AL,Jundiá,2703908,,http://pt.dbpedia.org/resource/Jundiá_(Alagoas),http://www.wikidata.org/entity/Q2020978
AL,Junqueiro,2704005,,http://pt.dbpedia.org/resource/Junqueiro,http://www.wikidata.org/entity/Q1808328
AL,Lagoa da Canoa,2704104,,http://pt.dbpedia.org/resource/Lagoa_da_Canoa,http://www.wikidata.org/entity/Q1795976
AL,Limoeiro de Anadia,2704203,,http://pt.dbpedia.org/resource/Limoeiro_de_Anadia,http://www.wikidata.org/entity/Q961349
AL,Maceió,2704302,http://dbpedia.org/resource/Maceió,http://pt.dbpedia.org/resource/Maceió,http://www.wikidata.org/entity/Q168888
AL,Major Isidoro,2704401,,http://pt.dbpedia.org/resource/Major_Isidoro,http://www.wikidata.org/entity/Q1808271
AL,Mar Vermelho,2704906,"http://dbpedia.org/resource/Mar_Vermelho,_Alagoas",http://pt.dbpedia.org/resource/Mar_Vermelho_(Alagoas),http://www.wikidata.org/entity/Q2028214
AL,Maragogi,2704500,http://dbpedia.org/resource/Maragogi,http://pt.dbpedia.org/resource/Maragogi,http://www.wikidata.org/entity/Q971736
AL,Maravilha,2704609,,http://pt.dbpedia.org/resource/Maravilha_(Alagoas),http://www.wikidata.org/entity/Q1814508
AL,Marechal Deodoro,2704708,,http://pt.dbpedia.org/resource/Marechal_Deodoro_(Alagoas),http://www.wikidata.org/entity/Q985275
AL,Maribondo,2704807,,http://pt.dbpedia.org/resource/Maribondo,http://www.wikidata.org/entity/Q2021217
AL,Mata Grande,2705002,,http://pt.dbpedia.org/resource/Mata_Grande,http://www.wikidata.org/entity/Q2027641
AL,Matriz de Camaragibe,2705101,,http://pt.dbpedia.org/resource/Matriz_de_Camaragibe,http://www.wikidata.org/entity/Q2013614
AL,Messias,2705200,"http://dbpedia.org/resource/Messias,_Alagoas",http://pt.dbpedia.org/resource/Messias_(Alagoas),http://www.wikidata.org/entity/Q2028160
AL,Minador do Negrão,2705309,,http://pt.dbpedia.org/resource/Minador_do_Negrão,http://www.wikidata.org/entity/Q767029
AL,Monteirópolis,2705408,,http://pt.dbpedia.org/resource/Monteirópolis,http://www.wikidata.org/entity/Q2013634
AL,Murici,2705507,http://dbpedia.org/resource/Murici,http://pt.dbpedia.org/resource/Murici_(Alagoas),http://www.wikidata.org/entity/Q1795628
AL,Novo Lino,2705606,,http://pt.dbpedia.org/resource/Novo_Lino,http://www.wikidata.org/entity/Q1816167
AL,Olho d'Água Grande,2705903,,http://pt.dbpedia.org/resource/Olho_d'Água_Grande,http://www.wikidata.org/entity/Q1795548
AL,Olho d'Água das Flores,2705705,,http://pt.dbpedia.org/resource/Olho_d'Água_das_Flores,http://www.wikidata.org/entity/Q1815966
AL,Olho d'Água do Casado,2705804,http://dbpedia.org/resource/Olho_d'Água_do_Casado,http://pt.dbpedia.org/resource/Olho_d'Água_do_Casado,http://www.wikidata.org/entity/Q1808294
AL,Olivença,2706000,,http://pt.dbpedia.org/resource/Olivença_(Alagoas),http://www.wikidata.org/entity/Q950712
AL,Ouro Branco,2706109,,http://pt.dbpedia.org/resource/Ouro_Branco_(Alagoas),http://www.wikidata.org/entity/Q2355814
AL,Palestina,2706208,,http://pt.dbpedia.org/resource/Palestina_(Alagoas),http://www.wikidata.org/entity/Q511396
AL,Palmeira dos Índios,2706307,,http://pt.dbpedia.org/resource/Palmeira_dos_Índios,http://www.wikidata.org/entity/Q948268
AL,Pariconha,2706422,,http://pt.dbpedia.org/resource/Pariconha,http://www.wikidata.org/entity/Q1795935
AL,Paripueira,2706448,http://dbpedia.org/resource/Paripueira,http://pt.dbpedia.org/resource/Paripueira,http://www.wikidata.org/entity/Q1795979
AL,Passo de Camaragibe,2706505,,http://pt.dbpedia.org/resource/Passo_de_Camaragibe,http://www.wikidata.org/entity/Q1772652
AL,Paulo Jacinto,2706604,,,
AL,Penedo,2706703,,http://pt.dbpedia.org/resource/Penedo_(Alagoas),http://www.wikidata.org/entity/Q1772658
AL,Piaçabuçu,2706802,http://dbpedia.org/resource/Piaçabuçu,http://pt.dbpedia.org/resource/Piaçabuçu,http://www.wikidata.org/entity/Q1772595
AL,Pilar,2706901,"http://dbpedia.org/resource/Pilar,_Alagoas",http://pt.dbpedia.org/resource/Pilar_(Alagoas),http://www.wikidata.org/entity/Q2013557
AL,Pindoba,2707008,http://dbpedia.org/resource/Pindoba,http://pt.dbpedia.org/resource/Pindoba,http://www.wikidata.org/entity/Q1800867
AL,Piranhas,2707107,http://dbpedia.org/resource/Piranhas,http://pt.dbpedia.org/resource/Piranhas_(Alagoas),http://www.wikidata.org/entity/Q1998967
AL,Porto Calvo,2707305,,http://pt.dbpedia.org/resource/Porto_Calvo,http://www.wikidata.org/entity/Q1772636
AL,Porto Real do Colégio,2707503,http://dbpedia.org/resource/Porto_Real_do_Colégio,http://pt.dbpedia.org/resource/Porto_Real_do_Colégio,http://www.wikidata.org/entity/Q1772685
AL,Porto de Pedras,2707404,,http://pt.dbpedia.org/resource/Porto_de_Pedras,http://www.wikidata.org/entity/Q1796131
AL,Poço das Trincheiras,2707206,,http://pt.dbpedia.org/resource/Poço_das_Trincheiras,http://www.wikidata.org/entity/Q1795960
AL,Pão de Açúcar,2706406,,http://pt.dbpedia.org/resource/Pão_de_Açúcar_(Alagoas),http://www.wikidata.org/entity/Q2027100
AL,Quebrangulo,2707602,http://dbpedia.org/resource/Quebrangulo,http://pt.dbpedia.org/resource/Quebrangulo,http://www.wikidata.org/entity/Q1772591
AL,Rio Largo,2707701,http://dbpedia.org/resource/Rio_Largo,http://pt.dbpedia.org/resource/Rio_Largo,http://www.wikidata.org/entity/Q530211
AL,Roteiro,2707800,,http://pt.dbpedia.org/resource/Roteiro_(Alagoas),http://www.wikidata.org/entity/Q2015625
AL,Santa Luzia do Norte,2707909,http://dbpedia.org/resource/Santa_Luzia_do_Norte,http://pt.dbpedia.org/resource/Santa_Luzia_do_Norte,http://www.wikidata.org/entity/Q1816274
AL,Santana do Ipanema,2708006,http://dbpedia.org/resource/Santana_do_Ipanema,http://pt.dbpedia.org/resource/Santana_do_Ipanema,http://www.wikidata.org/entity/Q2021116
AL,Santana do Mundaú,2708105,,http://pt.dbpedia.org/resource/Santana_do_Mundaú,http://www.wikidata.org/entity/Q1808118
AL,Satuba,2708907,http://dbpedia.org/resource/Satuba,http://pt.dbpedia.org/resource/Satuba,http://www.wikidata.org/entity/Q1795925
AL,Senador Rui Palmeira,2708956,,http://pt.dbpedia.org/resource/Senador_Rui_Palmeira,http://www.wikidata.org/entity/Q1795898
AL,São Brás,2708204,,http://pt.dbpedia.org/resource/São_Brás_(Alagoas),http://www.wikidata.org/entity/Q2021424
AL,São José da Laje,2708303,,http://pt.dbpedia.org/resource/São_José_da_Laje,http://www.wikidata.org/entity/Q1808170
AL,São José da Tapera,2708402,,http://pt.dbpedia.org/resource/São_José_da_Tapera,http://www.wikidata.org/entity/Q1808190
AL,São Luís do Quitunde,2708501,,http://pt.dbpedia.org/resource/São_Luís_do_Quitunde,http://www.wikidata.org/entity/Q1808105
AL,São Miguel dos Campos,2708600,,http://pt.dbpedia.org/resource/São_Miguel_dos_Campos,http://www.wikidata.org/entity/Q1816037
AL,São Miguel dos Milagres,2708709,,http://pt.dbpedia.org/resource/São_Miguel_dos_Milagres,http://www.wikidata.org/entity/Q740975
AL,São Sebastião,2708808,,http://pt.dbpedia.org/resource/São_Sebastião_(Alagoas),http://www.wikidata.org/entity/Q2014339
AL,Tanque d'Arca,2709004,,http://pt.dbpedia.org/resource/Tanque_d'Arca,http://www.wikidata.org/entity/Q1772722
AL,Taquarana,2709103,,http://pt.dbpedia.org/resource/Taquarana,http://www.wikidata.org/entity/Q1800641
AL,Teotônio Vilela,2709152,http://dbpedia.org/resource/Teotônio_Vilela,http://pt.dbpedia.org/resource/Teotônio_Vilela_(Alagoas),http://www.wikidata.org/entity/Q1795888
AL,Traipu,2709202,http://dbpedia.org/resource/Traipu,http://pt.dbpedia.org/resource/Traipu,http://www.wikidata.org/entity/Q1772703
AL,União dos Palmares,2709301,http://dbpedia.org/resource/União_dos_Palmares,http://pt.dbpedia.org/resource/União_dos_Palmares,http://www.wikidata.org/entity/Q22014882
AL,Viçosa,2709400,"http://dbpedia.org/resource/Viçosa,_Alagoas",http://pt.dbpedia.org/resource/Viçosa_(Alagoas),http://www.wikidata.org/entity/Q2026896
AL,Água Branca,2700102,"http://dbpedia.org/resource/Água_Branca,_Alagoas",http://pt.dbpedia.org/resource/Água_Branca_(Alagoas),http://www.wikidata.org/entity/Q1808899
AM,Alvarães,1300029,"http://dbpedia.org/resource/Alvarães,_Amazonas",http://pt.dbpedia.org/resource/Alvarães_(Amazonas),http://www.wikidata.org/entity/Q1808573
AM,Amaturá,1300060,http://dbpedia.org/resource/Amaturá,http://pt.dbpedia.org/resource/Amaturá,http://www.wikidata.org/entity/Q1772609
AM,Anamã,1300086,http://dbpedia.org/resource/Anamã,http://pt.dbpedia.org/resource/Anamã,http://www.wikidata.org/entity/Q974915
AM,Anori,1300102,http://dbpedia.org/resource/Anori,http://pt.dbpedia.org/resource/Anori,http://www.wikidata.org/entity/Q931090
AM,Apuí,1300144,http://dbpedia.org/resource/Apuí,http://pt.dbpedia.org/resource/Apuí,http://www.wikidata.org/entity/Q1112525
AM,Atalaia do Norte,1300201,http://dbpedia.org/resource/Atalaia_do_Norte,http://pt.dbpedia.org/resource/Atalaia_do_Norte,http://www.wikidata.org/entity/Q1793319
